run,type,module,name,attrname,attrvalue,vectime,vecvalue
General-0-20260328-18:15:24-9984,runattr,,,configname,General,,
General-0-20260328-18:15:24-9984,runattr,,,datetime,20260328-18:15:24,,
General-0-20260328-18:15:24-9984,runattr,,,datetimef,20260328-181524,,
General-0-20260328-18:15:24-9984,runattr,,,experiment,General,,
General-0-20260328-18:15:24-9984,runattr,,,inifile,omnetpp.ini,,
General-0-20260328-18:15:24-9984,runattr,,,iterationvars,,,
General-0-20260328-18:15:24-9984,runattr,,,iterationvarsd,,,
General-0-20260328-18:15:24-9984,runattr,,,iterationvarsf,,,
General-0-20260328-18:15:24-9984,runattr,,,measurement,,,
General-0-20260328-18:15:24-9984,runattr,,,network,RadioSch,,
General-0-20260328-18:15:24-9984,runattr,,,processid,9984,,
General-0-20260328-18:15:24-9984,runattr,,,repetition,0,,
General-0-20260328-18:15:24-9984,runattr,,,replication,#0,,
General-0-20260328-18:15:24-9984,runattr,,,resultdir,results,,
General-0-20260328-18:15:24-9984,runattr,,,runnumber,0,,
General-0-20260328-18:15:24-9984,runattr,,,seedset,0,,
General-0-20260328-18:15:24-9984,config,,,network,RadioSch,,
General-0-20260328-18:15:24-9984,config,,,record-eventlog,true,,
General-0-20260328-18:15:24-9984,config,,,result-dir,results,,
General-0-20260328-18:15:24-9984,config,,,output-vector-file,results/General-0.vec,,
General-0-20260328-18:15:24-9984,config,,,output-scalar-file,results/General-0.sca,,
General-0-20260328-18:15:24-9984,config,,,**.vector-recording,true,,
General-0-20260328-18:15:24-9984,config,,,**.scalar-recording,true,,
General-0-20260328-18:15:24-9984,config,,,RadioSch.usersCount,10,,
General-0-20260328-18:15:24-9984,config,,,*.scheduler.NrOfHighPriorityUsers,2,,
General-0-20260328-18:15:24-9984,config,,,*.scheduler.NrOfMediumPriorityUsers,5,,
General-0-20260328-18:15:24-9984,config,,,*.scheduler.NrOfLowPriorityUsers,3,,
General-0-20260328-18:15:24-9984,config,,,*.scheduler.NrOfChannels,10,,
General-0-20260328-18:15:24-9984,config,,,*.scheduler.HighPriorityWeight,4,,
General-0-20260328-18:15:24-9984,config,,,*.scheduler.MediumPriorityWeight,2,,
General-0-20260328-18:15:24-9984,config,,,*.scheduler.LowPriorityWeight,1,,
General-0-20260328-18:15:24-9984,config,,,*.delayLimit,0.5,,
General-0-20260328-18:15:24-9984,config,,,*.flc.config,"xmldoc(""conf.xml"")",,
General-0-20260328-18:15:24-9984,config,,,**.generator.sendIaTime,0.37ms,,
General-0-20260328-18:15:24-9984,config,,,**.generator.nrPackets,1,,
General-0-20260328-18:15:24-9984,config,,,**.generator.MAX_SIM,100s,,
General-0-20260328-18:15:24-9984,config,,,*.scheduler.schedulingPeriod,1ms,,
General-0-20260328-18:15:24-9984,config,,,sim-time-limit,100s,,
General-0-20260328-18:15:24-9984,config,,,*.flc.config,"xmldoc(""conf.xml"")",,
